,,,
A change log showing journals withdrawn from DOAJ from 19th March 2014 to 31st January 2024,,,
,,,
A new change log is available. This spreadsheet is no longer updated.,,,
,,,
,,,
Journal Title,ISSN,Date Removed (dd/mm/yyyy),Reason
Periódico Tchê Química,1806-0374,17-Feb-2017,Journal not adhering to Best practice
La Aljaba (Luján),1669-5704,17-Feb-2017,Journal not adhering to Best practice
Cuadernos de Relaciones Laborales,1988-2572,17-Feb-2017,Journal not adhering to Best practice
Memoria Americana,1851-3751,17-Feb-2017,Journal not adhering to Best practice
Res Diachronicae Virtual,1887-3553,17-Feb-2017,Journal not adhering to Best practice
Entelequia: Revista Interdisciplinar,1885-6985,17-Feb-2017,Journal not adhering to Best practice
Revista Tecnología y Sociedad,2314-3037,17-Feb-2017,Journal not adhering to Best practice
Revista de la Asociación Española de Neuropsiquiatría,2340-2733,17-Feb-2017,Journal not adhering to Best practice
"Revista Globalización, Competitividad y Gobernabilidad",1988-7116,17-Feb-2017,Journal not adhering to Best practice
Revista de Arqueología Histórica Argentina y Latinoamericana,2344-9918,17-Feb-2017,Journal not adhering to Best practice
Revista de Negócios,1980-4431,17-Feb-2017,No OA statement
Revista Jurídica do Cesuca,2317-9554,17-Feb-2017,Journal not adhering to Best practice
Rege : Revista de Gestão ,2177-8736,17-Feb-2017,Journal not adhering to Best practice
 Breviário de Filosofia Pública,2236-420X,17-Feb-2017,Journal not adhering to Best practice
Iraqi Journal for Electrical and Electronic Engineering,2078-6069,17-Feb-2017,Journal not adhering to Best practice
The Lex-Warrier: Online Law Journal,2319-8338,17-Feb-2017,Journal not adhering to Best practice
Research Cell : An International Journal of Engineering Sciences,2320-0332,17-Feb-2017,Journal not adhering to Best practice
International Electronic Journal of Mathematics Education,1306-3030,15-Feb-2017,Ceased publishing
Healthline,2229-337X,15-Feb-2017,Journal not adhering to Best practice
Bulgarian Journal of Veterinary Medicine,1311-1477,15-Feb-2017,Journal not adhering to Best practice
Mathematica Aeterna,1314-3336,15-Feb-2017,Journal not adhering to Best practice
International Journal of Combinatorial Optimization Problems and Informatics,2007-1558,15-Feb-2017,Journal not adhering to Best practice
International Journal of Green and Herbal Chemistry,2278-3229,15-Feb-2017,Journal not adhering to Best practice
International Journal of Electronics Communication and Computer Technology,2249-7838,15-Feb-2017,Journal not adhering to Best practice
"Journal of Mathematical Physics, Analysis, Geometry",1812-9471,14-Feb-2017,no OA statement no licence
Barbarói,1982-2022,12-Feb-2017,Journal not adhering to Best practice
Revista Práxis Educacional,1809-0249,12-Feb-2017,Journal not adhering to Best practice
Journal of International Relations,1336-1562,12-Feb-2017,Web site URL no longer works
Journal on Efficiency and Responsibility in Education and Science,2336-2375,12-Feb-2017,no OA statement no licence
AGRIS,1804-1930,11-Feb-2017,Journal not adhering to Best practice
International Economics Letters,1805-7306,11-Feb-2017,Web site URL no longer works
Constitutional Forum constitutionnel,0847-3889,11-Feb-2017,Journal not adhering to Best practice
Kultūra ir Visuomenė,2029-4573,11-Feb-2017,Web site URL no longer works
Evidence,2280-6288,10-Feb-2017,Journal not adhering to Best practice
Revista Estudos Políticos,2177-2851,10-Feb-2017,Journal not adhering to Best practice
International Journal of Fundamental Physical Sciences,2231-8186,10-Feb-2017,Journal not adhering to Best practice
"Journal of Environmental Sciences, Computer Science and Engineering & Technology",2278-179X,10-Feb-2017,Journal not adhering to Best practice
International Economics Studies,2008-9643,10-Feb-2017,Inactive (has not published in the last calendar year)
Ciência & Maçonaria,2318-0129,9-Feb-2017,Journal not adhering to Best practice
Armenian Journal of Mathematics,1829-1163,9-Feb-2017,Journal not adhering to Best practice
Revista del Centro de Investigación. Universidad La Salle,1405-6690,9-Feb-2017,Journal not adhering to Best practice
The European Journal of Psychiatry,0213-6163,9-Feb-2017,Journal is no longer Open Access
Universidad y Empresa,0124-4639,9-Feb-2017,Journal not adhering to Best practice
sehepunkte : Rezensionsjournal für die Geschichtswissenschaften,1618-6168,8-Feb-2017,No info on license
Revista Brasileira em Promoção da Saúde,1806-1222,7-Feb-2017,Journal not adhering to Best practice
International Journal of Fundamental and Applied Sciences,2278-1404,7-Feb-2017,Journal not adhering to Best practice
Workplace : A Journal for Academic Labor,1715-0094,7-Feb-2017,Journal not adhering to Best practice
Journal of Cave and Karst Studies,1090-6924,7-Feb-2017,Journal not adhering to Best practice
Anthropoetics : the Journal of Generative Anthropology,1083-7264,7-Feb-2017,Journal not adhering to Best practice
"Annals of the University Dunarea de Jos Galati, Fascicle XV : Physical Education and Sport Management",1454-9832,7-Feb-2017,Journal not adhering to Best practice
Journal of Marine Animals and Their Ecology,1911-8929,7-Feb-2017,Journal not adhering to Best practice
Canadian Journal of Rural Medicine,1488-237X,7-Feb-2017,Journal not adhering to Best practice
Current Oncology,1718-7729,7-Feb-2017,Journal not adhering to Best practice
Journal of Military and Strategic Studies,1488-559X,7-Feb-2017,Journal not adhering to Best practice
McGill Science Undergraduate Research Journal,1718-0775,7-Feb-2017,Journal not adhering to Best practice
International Journal of Marine Science,1927-6648,7-Feb-2017,Journal not adhering to Best practice
Fênix: Revista de História e Estudos Culturais,1807-6971,6-Feb-2017,Journal not adhering to Best practice
"Asian Journal of Engineering, Sciences & Technology",2077-1142,6-Feb-2017,Journal not adhering to Best practice
Armenian Journal of Mathematics,1829-1163,4-Feb-2017,Journal not adhering to Best practice
Ecotoxicology and Environmental Contamination,2236-1693,3-Feb-2017,Journal not adhering to Best practice
International Journal of Computer & Communication Engineering Research,2321-4198,3-Feb-2017,Journal not adhering to Best practice
Hope's Reason : A Journal of Apologetics,1923-8193,2-Feb-2017,Has not published enough articles
Oklahoma Native Plant Record,1536-7738,2-Feb-2017,Journal not adhering to Best practice
Monthly Labor Review,0098-1818,2-Feb-2017,Journal not adhering to Best practice
Etnolog,0353-4855,2-Feb-2017,no OA statement no licence
Etnolog,0354-0316,2-Feb-2017,no OA statement no licence
Comparative Law Journal of the Pacific ,1772-1644,2-Feb-2017,Web site URL no longer works
Šiauliai Mathematical Seminar,1822-511X,1-Feb-2017,site under reconstruction
Žemdirbystė,1392-3196,1-Feb-2017,Journal not adhering to Best practice
International Journal of Applied Sciences and Biotechnology,2091-2609,1-Feb-2017,Journal not adhering to Best practice
The Bioscan,0973-7049,1-Feb-2017,Journal not adhering to Best practice
Diálogo de la Lengua,1989-1334,31-Jan-2017,Ceased publishing
Rect@,1575-605X,31-Jan-2017,Journal not adhering to Best practice
Sanidad Militar,1887-8571,31-Jan-2017,Journal not adhering to Best practice
Ratio Juris,1794-6638,31-Jan-2017,Journal not adhering to Best practice
Revista Iberoamericana de Psicología y Salud,1989-9246,31-Jan-2017,Journal not adhering to Best practice
Cuadernos del CIMBAGE,1669-1830,31-Jan-2017,Journal not adhering to Best practice
Altreitalie. International journal of studies on Italian migrations in the world,1120-0413,31-Jan-2017,No longer OA
Nursing Reports,2039-4403,31-Jan-2017,Journal not adhering to Best practice
Drugs and Therapy Studies,2038-9507,31-Jan-2017,Ceased publishing
African Review of Physics,2223-6589,31-Jan-2017,Journal not adhering to Best practice
Journal of Comparative Politics,1337-7477,30-Jan-2017,Journal not adhering to Best practice (one url per issue)
Prilozi: Makedonska Akademija na Naukite i Umetnostite,0351-3254,30-Jan-2017,Journal not adhering to Best practice
Informatics in Education,1648-5831,29-Jan-2017,no OA statement no licence
Lithuanian Foreign Policy Review,1392-5504,29-Jan-2017,no OA statement no licence
Morfologìâ,1997-9665,29-Jan-2017,no OA statement no licence
Teknokultura: Revista de Cultura Digital y Movimientos Sociales,1549-2230,29-Jan-2017,Journal not adhering to Best practice
Cuadernos de Gestión,1131-6837,29-Jan-2017,Journal not adhering to Best practice
Machine Design,1821-1259,28-Jan-2017,no OA statement no licence
Microwave Review,1450-5835,28-Jan-2017,Web site URL no longer works
Revista Crítica Histórica,2177-9961,26-Jan-2017,Journal not adhering to Best practice
TAC : Tecnologias de Administração e Contabilidade,2236-0263,26-Jan-2017,Journal not adhering to Best practice
Mineralogia,1899-8526,26-Jan-2017,Ceased publishing
Socialist Studies,1918-2821,26-Jan-2017,Journal not adhering to Best practice
Tethys : Journal of Mediterranean Meteorology & Climatology,1139-3394,26-Jan-2017,Journal not adhering to Best practice
International Journal of Data Mining & Knowledge Management Process,2230-9608,26-Jan-2017,Journal not adhering to Best practice
Computer Science & Information Technology,2231-5403,26-Jan-2017,Journal not adhering to Best practice
International Journal on Soft Computing,2229-6735,26-Jan-2017,Journal not adhering to Best practice
Advanced Computing : an International Journal,2229-6727,26-Jan-2017,Journal not adhering to Best practice
International Journal of Grid Computing & Applications,0976-9404,26-Jan-2017,Journal not adhering to Best practice
Signal & Image Processing,0976-710X,26-Jan-2017,Journal not adhering to Best practice
International Journal of Computer Science and Engineering Survey,0976-2760,26-Jan-2017,Journal not adhering to Best practice
International Journal of Distributed and Parallel Systems,0976-9757,26-Jan-2017,Journal not adhering to Best practice
International Journal of UbiComp,0975-8992,26-Jan-2017,Journal not adhering to Best practice
International Journal of Web & Semantic Technology,0975-9026,26-Jan-2017,Journal not adhering to Best practice
"International Journal of Ad Hoc, Sensor & Ubiquitous Computing",0976-1764,26-Jan-2017,Journal not adhering to Best practice
International Journal of VLSI Design & Communication Systems,0976-1357,26-Jan-2017,Journal not adhering to Best practice
International Journal of Managing Information Technology,0975-5586,26-Jan-2017,Journal not adhering to Best practice
International Journal of Artificial Intelligence & Applications,0975-900X,26-Jan-2017,Journal not adhering to Best practice
International Journal of Software Engineering & Applications,0975-9018,26-Jan-2017,Journal not adhering to Best practice
International Journal of Multimedia & Its Applications,0975-5578,26-Jan-2017,Journal not adhering to Best practice
International Journal of Database Management Systems,0975-5705,26-Jan-2017,Journal not adhering to Best practice
International Journal on Applications of Graph Theory in Wireless ad hoc Networks and Sensor Networks,0975-7031,26-Jan-2017,Journal not adhering to Best practice
International Journal of Next-Generation Networks,0975-7023,26-Jan-2017,Journal not adhering to Best practice
International Journal of Network Security & Its Applications,0974-9330,26-Jan-2017,Journal not adhering to Best practice
International Journal of Computer Science & Information Technology,0975-3826,26-Jan-2017,Journal not adhering to Best practice
International Journal of Wireless & Mobile Networks,0975-3834,26-Jan-2017,Journal not adhering to Best practice
Journal of Biodiversity and Ecological Sciences,2008-9287,25-Jan-2017,Inactive (has not published in the last calendar year)
Pesquisa Operacional para o Desenvolvimento,1984-3534,24-Jan-2017,Journal not adhering to Best practice
InfoComp,1807-4545,24-Jan-2017,Journal not adhering to Best practice
Trama y Fondo: Revista de Cultura,1137-4802,23-Jan-2017,Journal not adhering to Best practice
Areté : Revista de Filosofía,2223-3741,23-Jan-2017,Journal not adhering to Best practice
RLA : Revista de Lingüística Teórica y Aplicada,0718-4883,23-Jan-2017,Journal not adhering to Best practice
Foro de Profesores de E/LE,1886-337X,23-Jan-2017,Journal not adhering to Best practice
Revista de Salud Animal,2224-4700,23-Jan-2017,Journal not adhering to Best practice
Acción Pedagógica (San Cristóbal),1315-401X,23-Jan-2017,Journal not adhering to Best practice
Dugesiana,1028-3420,23-Jan-2017,Journal not adhering to Best practice
e-Journal of Business Education & Scholarship of Teaching,1835-9132,24-Jan-2017,Journal not adhering to Best practice
Contributions to Zoology,1875-9866,24-Jan-2017,Journal not adhering to Best practice
South Africa Heart Journal ,2071-4602,24-Jan-2017,Journal not adhering to Best practice
Southern African Business Review,1998-8125,24-Jan-2017,Journal not adhering to Best practice
Informatologia,1330-0067,24-Jan-2017,No licence
Heron,1574-4078,24-Jan-2017,Journal not adhering to Best practice
International Journal of Communication,1932-8036,24-Jan-2017,Journal not adhering to Best practice
"Annual Review of Education, Communication and Language Sciences",1743-159X,24-Jan-2017,Has not published enough articles this calendar year;
Dalhousie Journal of Interdisciplinary Management,1923-6530,24-Jan-2017,Journal not adhering to Best practice
Papers on Social Representations,1819-3978,24-Jan-2017,Journal not adhering to Best practice
Expedições/Expeditions: Teoria da História e Historiografia,2179-6386,23-Jan-2017,Journal not adhering to Best practice
Información Tecnológica,0716-8756,23-Jan-2017,Journal not adhering to Best practice
